"string","D","length"
"00001100000",1.00387633585717e-08,11
"0010000101",9.91523611447139e-09,10
"0101111011",9.91523611447139e-09,10
"0010111010",9.78126994833447e-09,10
"0101110100",9.78126994833447e-09,10
"0010101011",9.77431066697671e-09,10
"00000000100",9.56901186692273e-09,11
"00100000000",9.56901186692273e-09,11
"0011011010",9.47854120927183e-09,10
"0101101100",9.47854120927183e-09,10
"0101000101",9.37241216856596e-09,10
"0101110101",9.37241216856596e-09,10
"0000010001",9.34631486347435e-09,10
"0111011111",9.34631486347435e-09,10
"0000100011",9.3271768397405e-09,10
"0011101111",9.3271768397405e-09,10
"0010001001",9.31673791770386e-09,10
"0110111011",9.31673791770386e-09,10
"0011011101",9.28020169057561e-09,10
"0100010011",9.28020169057561e-09,10
"0000101100",8.99661097524681e-09,10
"0011010000",8.99661097524681e-09,10
"0000011110",8.90788013793534e-09,10
"0111100000",8.90788013793534e-09,10
"01000101010",8.60689121921214e-09,11
"01010100010",8.60689121921214e-09,11
"0000100110",8.35809691067215e-09,10
"0110010000",8.35809691067215e-09,10
"0100010110",8.26414661234236e-09,10
"0110100010",8.26414661234236e-09,10
"0100101001",8.22761038521411e-09,10
"0110101101",8.22761038521411e-09,10
"0010001011",8.20499272080138e-09,10
"0010111011",8.20499272080138e-09,10
"0010000010",8.11278224281104e-09,10
"0100000100",8.11278224281104e-09,10
"0001000101",8.0727663750039e-09,10
"0101110111",8.0727663750039e-09,10
"0000111000",8.06754691398558e-09,10
"0001110000",8.06754691398558e-09,10
"0000110100",8.01013284278405e-09,10
"0010110000",8.01013284278405e-09,10
"01010101001",7.97533643599524e-09,11
"01101010101",7.97533643599524e-09,11
"0010110101",7.9353205681881e-09,10
"0101001011",7.9353205681881e-09,10
"0000111010",7.91966218513314e-09,10
"0101110000",7.91966218513314e-09,10
"0100011101",7.86746757494993e-09,10
"00101010100",7.81179332408783e-09,11
"00001110000",7.72132266643693e-09,11
"01001001001",7.71784302575804e-09,11
"01101101101",7.71784302575804e-09,11
"0000001101",7.65172985285931e-09,10
"0100111111",7.65172985285931e-09,10
"0000111100",7.60649452403385e-09,10
"0011110000",7.60649452403385e-09,10
"0000101110",7.53864153079567e-09,10
"0111010000",7.53864153079567e-09,10
"010101010101",7.49862566298854e-09,12
"0010010100",7.48992656129134e-09,10
"0010100100",7.48992656129134e-09,10
"0100000010",7.47774781891525e-09,10
"01001010010",7.47774781891525e-09,11
"0000000111",7.46904871721805e-09,10
"0001111111",7.46904871721805e-09,10
"0100001010",7.43425231042924e-09,10
"0101000010",7.43425231042924e-09,10
"0010110110",7.4238133883926e-09,10
"0110110100",7.4238133883926e-09,10
"0010101001",7.33856219176002e-09,10
"0110101011",7.33856219176002e-09,10
"0011101010",7.29680650361344e-09,10
"0101011100",7.29680650361344e-09,10
"0101011110",7.27940830021904e-09,10
"0111101010",7.27940830021904e-09,10
"0100100110",7.27418883920072e-09,10
"0110010010",7.27418883920072e-09,10
"000000000001",7.21851458833862e-09,12
"011111111111",7.21851458833862e-09,12
"0010011001",7.18893764256813e-09,10
"0110011011",7.18893764256813e-09,10
"00000011000",7.17153943917373e-09,11
"00011000000",7.17153943917373e-09,11
"0101000001",7.15588105611876e-09,10
"0111110101",7.15588105611876e-09,10
"0000101001",7.13674303238492e-09,10
"0110101111",7.13674303238492e-09,10
"0010001101",7.09846698491723e-09,10
"0100111011",7.09846698491723e-09,10
"0000001011",7.0758493205045e-09,10
"0010111111",7.0758493205045e-09,10
"0110001001",7.03409363235793e-09,10
"0110111001",7.03409363235793e-09,10
"0010011010",6.99755740522968e-09,10
"0101100100",6.99755740522968e-09,10
"00000000101",6.93492387300982e-09,11
"01011111111",6.93492387300982e-09,11
"0110110001",6.8827292628266e-09,10
"0111001001",6.8827292628266e-09,10
"0011010010",6.85489213739556e-09,10
"0100101100",6.85489213739556e-09,10
"0010001100",6.76442147974465e-09,10
"0011000100",6.76442147974465e-09,10
"0100001101",6.70526758820367e-09,10
"0100111101",6.70526758820367e-09,10
"01000111010",6.66873136107542e-09,11
"01011100010",6.66873136107542e-09,11
"00101101101",6.64089423564438e-09,11
"01001001011",6.64089423564438e-09,11
"0000000000000",6.63915441530494e-09,13
"0100101110",6.63393495428661e-09,10
"0111010010",6.63393495428661e-09,10
"0100011010",6.56782178138788e-09,10
"0101100010",6.56782178138788e-09,10
"00000101010",6.49822896781026e-09,11
"00110101010",6.49822896781026e-09,11
"01010100000",6.49822896781026e-09,11
